record_ID,well_ID,pump_fixed,pump_working,activity_date,village_name,prefecture,Latitude,Longitude,pump_type,sous_prefecture,payment,service_visit_type
30387,A1,oui,oui,07/31/2018,BELLE VU,mamberekadei,4.248201,15.76806,hpv_60,berberati,,monitor
402,A10,oui,oui,03/15/2012,Hopital bti 2,mamberekadei,4.262179,15.7895,hpv_60,berberati,16000,
18426,A10,oui,oui,10/24/2016,BERBERATI HOPITAL 2,mamberekadei,4.262072,15.78953,hpv_60,berberati,16000,
23121,A10,oui,oui,10/31/2017,BERBERATI HOPITAL 2,mamberekadei,4.262177,15.78953,hpv_60,berberati,16000,
25680,A10,oui,oui,02/01/2018,BERBERATI HOPITAL 2,mamberekadei,4.263175,15.7881,hpv_60,,,monitor
25677,A10,oui,oui,02/01/2018,BERBERATI HOPITAL 2,mamberekadei,4.262172,15.78951,hpv_60,,,monitor
25842,A10,oui,oui,03/20/2018,Berberati Hopital,,4.262182,15.7895,hpv_60,,,monitor
30417,A10,oui,oui,08/02/2018,BERBERATI HOPITAL 2,mamberekadei,4.262207,15.78948,hpv_60,berberati,,monitor
27648,A100,decommissioned,decommissioned,04/23/2018,PETROCA NOLA,,,,hpv_60,,,monitor
,A1000,decommissioned,decommissioned,12/31/2018,MBEKATE,,,,decommissioned,,,
34676,A1001,non,non,12/11/2018,KENENGUE,lobaye,4.033996,17.62831,india_mark_2,mbaiki,0,eep
32982,A1002,oui,oui,10/26/2018,WELE WELE 1,Lobaye,3.655505,18.05967,india_mark_2,Mbaiki,0,eep
234,A1003,oui,oui,03/02/2012,Wele wele 2,,3.674534,18.07171,india_mark_2,,16000,
20052,A1003,oui,oui,03/06/2017,WELE WELE 2,lobaye,3.674485,18.07172,india_mark_2,mongoumba,16000,
21543,A1003,oui,oui,06/23/2017,WELE WELE 2,lobaye,3.6746,18.07159,india_mark_2,mbaiki,0,
23748,A1003,oui,oui,11/20/2017,WELE WELE 2,lobaye,3.674535,18.07166,india_mark_2,mbaiki,0,2017-11-20 08:35:13
32979,A1003,oui,oui,10/26/2018,WELE WELE 2,Lobaye,3.674555,18.0717,india_mark_2,Mbaiki,0,eep
32040,A1004,non,non,09/20/2018,Boudjoula Sud,Lobaye,4.489178,17.28412,hpv_60,Boganda,,monitor
23838,A1005,oui,oui,11/24/2017,BOGAYE,lobaye,4.041542,17.82158,india_mark_2,mbaiki,0,2017-11-24 10:15:18
27426,A1005,oui,oui,03/26/2018,BOGAYE,,4.041565,17.82155,india_mark_2,,0,eep
34427,A1005,oui,oui,12/12/2018,BOGAYE,lobaye,4.041478,17.82156,india_mark_2,mbaiki,0,eep
27573,A1007,oui,oui,04/03/2018,Keli 2,,4.208953,17.58519,hpv_60,,0,eep
34373,A1007,problem,oui,12/10/2018,Keli 2,lobaye,4.208926,17.58516,hpv_60_2000,boda,0,eep
17994,A1008,oui,oui,10/25/2016,Bogomo Sud,lobaye,3.87473,18.14759,india_mark_2,mbaiki,0,
20166,A1008,oui,oui,03/13/2017,Bogomo Sud,lobaye,3.874756,18.14758,india_mark_2,mbaiki,0,
23619,A1008,oui,oui,11/10/2017,Bogomo Sud,lobaye,3.874733,18.14763,india_mark_2,mbaiki,0,2017-11-10 08:11:07
26955,A1008,oui,oui,03/10/2018,Bogomo Sud,,3.874747,18.1476,india_mark_2,,0,eep
32778,A1008,oui,oui,10/13/2018,Bogomo Sud,Lobaye,3.874762,18.14761,india_mark_2,Mbaiki,0,eep
34379,A1009,oui,non,12/10/2018,NDANGA CENTRE DE SANTE,Lobaye,4.19962,17.62842,hpv_60_2000,Boda,0,rapid_response
18282,A101,oui,oui,11/09/2016,NOLA PERFECTURE,sanghambaere,3.523637,16.04189,india_mark_2,nola,0,
