record_ID,Latitude,Longitude,service_visit_type,well_ID,village_name,prefecture,sous_prefecture,wells::mission_id,team_number,activity_date,population_estimate,pop_use,pump_type,pump_working,pump_fixed,payment
44605,4.231972,15.719091,EEP traditionnel,F2103,Xavier A,Mambere Kadei,Berberati,Moto_Berberati_Mission_2,EEP Moto 1,1/16/2020,50,40,Vergnet HPV 60 2000,Oui,Oui,
44608,4.222114,15.738134,EEP traditionnel,F2082,Wapo 2B,Mambere Kadei,Berberati,Moto_Berberati_Mission_2,EEP Moto 1,1/16/2020,300,200,Vergnet HPV 60 2000,Oui,Oui,
44611,4.222099,15.740063,EEP traditionnel,F2085,Wapo 2A,Mambere Kadei,Berberati,Moto_Berberati_Mission_2,EEP Moto 1,1/16/2020,2500,2000,Vergnet HPV 60 2000,Oui,Oui,
44614,4.220889,15.741716,EEP traditionnel,F275,Wapo 1A,Mambere Kadei,Berberati,Moto_Berberati_Mission_2,EEP Moto 1,1/16/2020,250,150,Vergnet HPV 60,Oui,Oui,
44332,5.059301,18.7943,EEP traditionnel,A3308,Vangue 1B,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/16/2020,623,85,Vergnet HPV 60,"Oui, mais pas correctement",Oui,
44617,4.219931,15.739816,Visite de suivi,F1994,Wapo Ecole Mixte,Mambere Kadei,Berberati,Moto_Berberati_Mission_2,EEP Moto 1,1/16/2020,400,300,Vergnet Hydro India,Oui,Oui,
44620,4.218205,15.739417,EEP traditionnel,F2465,Wapo 3a,Mambere Kadei,Berberati,Moto_Berberati_Mission_2,EEP Moto 1,1/16/2020,80,50,Vergnet HPV 60 2000,Oui,Oui,
44623,4.213203,15.737888,EEP traditionnel,F2076,Wapo 3b,Mambere Kadei,Berberati,Moto_Berberati_Mission_2,EEP Moto 1,1/16/2020,100,80,Vergnet HPV 60 2000,Oui,Oui,
44626,4.209796,15.736264,EEP traditionnel,F2465,wapo 3c redrill,Mambere Kadei,Berberati,2,EEP Moto 1,1/16/2020,50,40,Vergnet HPV 60 2000,Oui,Oui,
44065,4.310381,18.384934,Visite Animateur,R647,Yamboro 2B,Ombella M'Poko,Bimbo,Moto_Bangui_Mission_1,Bureau,1/16/2020,4500,2500,Vergnet HPV 60,"Oui, mais pas correctement","Oui, mais pas correctement",
44335,5.057715,18.79302,EEP traditionnel,A3306,Vangue 1A,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/16/2020,623,74,Vergnet HPV 60,"Oui, mais pas correctement",Oui,
44338,5.028046,18.780314,EEP traditionnel,A924,Kpabara 3,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/16/2020,896,68,Vergnet HPV 60,Oui,Oui,
44341,4.957802,18.697649,Visite de suivi,A3309,Damara Deo A,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/16/2020,2858,130,Vergnet HPV 60,"Oui, mais pas correctement","Oui, mais pas correctement",
44344,4.956167,18.697462,Visite de suivi,R638,Damara Arabe,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/17/2020,894,45,Vergnet HPV 60,"Oui, mais pas correctement","Oui, mais pas correctement",
44137,3.785643,18.078273,EEP traditionnel,Z0066,BELOU 2,LOBAYE,Mbaïki,2,EEP 4,1/17/2020,220,100,India MARK 2,Oui,Oui,
44140,3.766546,18.079184,EEP traditionnel,A2087,BELOU 3,Lobaye,Mbaiki,2,EEP 4,1/17/2020,370,100,India MARK 2,Oui,Oui,
44143,3.752985,18.080804,EEP traditionnel,A970,SAGUELA,Lobaye,Mbaiki,2,EEP 4,1/17/2020,600,120,India MARK 2,Oui,Oui,
44347,4.951313,18.696813,EEP traditionnel,A3310,Lingangu Damara,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/17/2020,1325,95,Vergnet HPV 60,Oui,Oui,
44350,4.967784,18.696116,EEP traditionnel,Z122,DOMOKIA,Ombella M'Poko,Damara,2,EEP 2,1/17/2020,346,63,Vergnet HPV 60,"Oui, mais pas correctement",Oui,
44146,3.874566,17.995926,EEP traditionnel,Z207,MBAiKI quartier kpetene,Lobaye,Mbaiki,2,EEP 4,1/17/2020,1200,150,India MARK 2,Oui,Oui,
44353,4.952349,18.697996,EEP traditionnel,A3296,Damara Lingangue 1,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/17/2020,1231,85,Vergnet HPV 60,Oui,Oui,
44170,3.877174,18.003148,EEP traditionnel,A142,Bera Mbaiki,Lobaye,Mbaiki,2,EEP 4,1/18/2020,70,40,India MARK 2,Oui,Oui,
44563,5.954238,15.529392,EEP traditionnel,F857,Yole Ecole Maternelle,Nana-Mambere,Bouar,,EEP 1,1/18/2020,70,250,Vergnet HPV 60,Oui,Oui,
44566,5.956083,15.529662,EEP traditionnel,W072,YOLE BOUABOUZIKI chapelle,Nana-Mambere,BOUAR,6,EEP 1,1/18/2020,259,290,India MARK 2,"Oui, mais pas correctement",Oui,
44173,4.052448,18.192736,EEP traditionnel,Z0016,Pissa Centre de Sante,LOBAYE,Mbaïki,1,EEP 4,1/18/2020,350,100,India MARK 2,Oui,Oui,
44356,5.170842,18.86146,Visite de suivi,Z109,Bossele 1,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/18/2020,834,45,Vergnet HPV 60,Non,Désactiver cette point d'eau,
44359,5.172631,18.862888,EEP traditionnel,Z110,Bossele 2,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/18/2020,965,56,Vergnet HPV 60,Oui,Oui,
44362,5.191539,18.892046,EEP traditionnel,Z112,Bougournou 2,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/18/2020,416,74,Vergnet HPV 60,"Oui, mais pas correctement",Oui,
44365,5.189358,18.887821,EEP traditionnel,Z111,Bougournou 1,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/18/2020,456,48,Vergnet HPV 60,Oui,Oui,
44176,4.052046,18.193508,EEP traditionnel,A755,Pissa Magouga,Lobaye,Mbaiki,1,EEP 4,1/18/2020,0,0,India MARK 2,Oui,Oui,
44569,6.837285,15.446999,Visite de suivi,R360,Dock,Ouham Pende,Koui,6,EEP 1,1/19/2020,0,0,Vergnet HPV 60,Non,Non,
44572,6.667478,15.436494,EEP traditionnel,R321,Wantigira,Ouham Pende,Koui,6,EEP 1,1/19/2020,351,407,Vergnet HPV 60,"Oui, mais pas correctement",Oui,
